Names	dates	cities	reviews	ratings	stars
OpenTable Diner	Dined on September 11, 2022	New York City	Always a great experience. Keeps me coming back	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on September 10, 2022	New York City	Service was terrible- took way too longer to even order a drink and food. Packed in at bar tables, not a great experience for the money.	Overall 2 Food 4 Service 2 Ambience 4	5.0
AnaG	Dined on September 10, 2022	New York City	Too expensive. Service was not that good. Quality is only ok.	Overall 3 Food 3 Service 2 Ambience 3	5.0
HoVa	Dined on September 9, 2022	San Diego	Great place and food	Overall 5 Food 5 Service 5 Ambience 5	2.0
OpenTable Diner	Dined on September 7, 2022	San Diego	Fantastic, highly recommended.	Overall 5 Food 5 Service 5 Ambience 5	4.7
VanessaL	Dined on September 6, 2022	New York City	Amazing evening! Nobu never disappoints. Fantastic service and food.	Overall 5 Food 5 Service 5 Ambience 5	5.0
kevinc	Dined on September 5, 2022	Sacramento	Send off dinner	Overall 4 Food 4 Service 4 Ambience 5	4.0
Jessica1921	Dined on September 4, 2022	New York City	The Ambience, Cuisine and Service was top Tier. Went for a bday dinner and had a great experience.	Overall 5 Food 5 Service 5 Ambience 5	5.0
JoaoC	Dined on September 3, 2022	New York City	Great food!! Service was very good and great atmosphere!	Overall 5 Food 4 Service 5 Ambience 4	4.0
OpenTable Diner	Dined on September 2, 2022	Hamburg	Way overrated. First time I did not finish sushi and the crispy shrimp taste the same as you would get at Bubba Gump.	Overall 3 Food 3 Service 5 Ambience 3	5.0
RPage	Dined on September 1, 2022	Naples	This is second time we have been to Nobu Downtown. Amazing food and service. Will  definitely return.	Overall 5 Food 5 Service 5 Ambience 5	5.0
wallieh	Dined on September 1, 2022	Atlantic City	The food was the best and the service was outstanding! Sushi was so fresh and delicious.	Overall 5 Food 5 Service 5 Ambience 5	3.0
HarriettW	Dined on September 1, 2022	New York City	Had their tasting menu. Waiter accommodated our food allergies, likes and dislikes. FABULOUS all around. Can’t wait to go back!	Overall 5 Food 5 Service 5 Ambience 5	4.7
Monacaro	Dined on August 31, 2022	New York City	A classic Nobu   Service was very good	Overall 4 Food 5 Service 5 Ambience 3	4.7
OpenTable Diner	Dined on August 31, 2022	New York City	I love Japanese food and even for me it was some of the best food I’ve ever eaten!	Overall 5 Food 5 Service 5 Ambience 5	5.0
SpecialK1	Dined on August 29, 2022	St. Louis	Food was excellent all around. Will repeat!	Overall 5 Food 5 Service 4 Ambience 5	5.0
JamesTierneyTang	Dined on August 26, 2022	New York City	Always a great experience!  Thank you so much, Nobu!	Overall 5 Food 5 Service 5 Ambience 5	3.0
OfirT	Dined on August 23, 2022	San Francisco	Had a great time. Coming back in a few nights again!	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on August 22, 2022	New York City	Love the service our waiter took the time to explain everything	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on August 22, 2022	Philadelphia	So much yum. Waygu much yum. Crispy rice much yum.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on August 22, 2022	Los Angeles	It was perfect	Overall 5 Food 5 Service 5 Ambience 5	5.0
DickyW	Dined on August 21, 2022	New York City	A little hurried	Overall 4 Food 4 Service 5 Ambience 3	5.0
Aditya	Dined on August 19, 2022	New York City	Super Wagyu dim sum and tacos; lovely wine selection, poor options in vegetarian food though except the honey corn	Overall 4 Food 5 Service 5 Ambience 5	4.0
TANYSHARENEE	Dined on August 19, 2022	New York City	Sat at the sushi bar for the first time and it was the best experience.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Ponsie	Dined on August 18, 2022	Toronto	Excellent service at the bar. Joseph was great and assisted with menu and selections. Fresh fish nicely displayed!  Sake was fantastic! Awesome	Overall 5 Food 5 Service 5 Ambience 5	4.0
Chrissy	Dined on August 17, 2022	Atlanta Metro	Great host food was amazing	Overall 5 Food 5 Service 5 Ambience 4	4.7
OpenTable Diner	Dined on August 16, 2022	Greater Boston	Great food great waiters good drinks	Overall 5 Food 5 Service 5 Ambience 5	5.0
Giulia	Dined on August 15, 2022	New York City	Locale veramente bello con un ottimo sushi.. per NY anche economico lo consiglierei, è stata un ottima esperienza.	Overall 5 Food 5 Service 5 Ambience 5	5.0
LauraK	Dined on August 15, 2022	New York City	Everything was very good especially the tacos and the wagyu	Overall 5 Food 5 Service 5 Ambience 5	5.0
haydenh	Dined on August 13, 2022	New York City	Loved it! Will definitely be back!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on August 13, 2022	New York City	Poor quality sushi, not worth the money.   NYC has plenty of high quality options.	Overall 2 Food 2 Service 5 Ambience 4	5.0
JenniferF	Dined on August 12, 2022	New York City	Amazing food, amazing service! Cannot wait to go back!	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on August 12, 2022	New York City	Staff as always are very attentive, courteous and friendly. Ambience is excellent. Delectable tasty food.	Overall 5 Food 5 Service 5 Ambience 5	1.0
OpenTable Diner	Dined on August 11, 2022	New York City	Great Food!	Overall 5 Food 5 Service 5 Ambience 5	5.0
Whipper	Dined on August 11, 2022	New York City	Were out of half of their menu on a Wednesday night	Overall 1 Food 1 Service 4 Ambience 1	5.0
ericat	Dined on August 11, 2022	New York City	Fantastic as always get the black cod miso and yellowtAil	Overall 5 Food 5 Service 5 Ambience 5	1.0
AeroAL	Dined on August 10, 2022	Hawaii	Waitstaff was outstanding. Food, incredible. Plum sake was a great way to end the meal.	Overall 5 Food 5 Service 5 Ambience 5	5.0
SeanM	Dined on August 9, 2022	Atlantic City	Great; food was fantastic and service was good.	Overall 5 Food 5 Service 5 Ambience 4	4.7
OpenTable Diner	Dined on August 9, 2022	New York City	Food and drinks was great. Perfect dining experience	Overall 5 Food 5 Service 5 Ambience 5	5.0
SKWK	Dined on August 8, 2022	New York City	Birthday Dinner. Taste and quality of the food is good but way overpriced. The service was just okay too.	Overall 4 Food 5 Service 3 Ambience 5	5.0
OpenTable Diner	Dined on August 8, 2022	France	Just perfect!!!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
NickT	Dined on August 7, 2022	New York City	Food was ok, not for the price at all. Have no issue spending $250 on dinner, but food was worth $100 tops.. spend your money at a better place.	Overall 3 Food 3 Service 5 Ambience 5	5.0
AlexisF	Dined on August 6, 2022	London	Hot dishes were very good. Sushi rolls were really nothing special.  Service was very good!	Overall 4 Food 3 Service 4 Ambience 5	2.0
OpenTable Diner	Dined on August 5, 2022	New York City	Fun, good vibes excellent food	Overall 5 Food 5 Service 5 Ambience 5	3.0
JayC	Dined on August 4, 2022	New York City	Visiting NyC	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on August 4, 2022	Cincinnati	Great food and service - very loud hard to hear everyone at the table	Overall 5 Food 5 Service 5 Ambience 4	5.0
OpenTable Diner	Dined on August 3, 2022	New York City	June is the best	Overall 5 Food 5 Service 5 Ambience 5	5.0
Littleleo	Dined on August 3, 2022	New York City	Food and service was great.  We found the techno music to be a bit annoying and felt that something different would be preferable.	Overall 5 Food 5 Service 5 Ambience 3	5.0
OpenTable Diner	Dined on August 2, 2022	New York City	Good experience - dishes were ok and ambience and service was good	Overall 3 Food 3 Service 4 Ambience 3	5.0
OpenTable Diner	Dined on August 1, 2022	New York City	All time fav resturant!	Overall 5 Food 5 Service 5 Ambience 5	5.0
DanRisis	Dined on July 28, 2022	New York City	Great spot to bring your wife if 21 years to remind her why New York is New York.  Wall Street 4 life -dan risis	Overall 5 Food 5 Service 5 Ambience 5	4.7
FrancesO	Dined on July 28, 2022	New York City	Outstanding experience! Nobu never fails to deliver amazing food and great service.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on July 28, 2022	New York City	Great food! EXCELLENT service! Pretty pricey!	Overall 5 Food 5 Service 5 Ambience 5	5.0
Cobra	Dined on July 25, 2022	New York City	The food was great. The service could be better. We have been here before and in my opinion 57th Street is better.	Overall 5 Food 5 Service 4 Ambience 4	5.0
OpenTable Diner	Dined on July 25, 2022	Seattle	Always great	Overall 5 Food 5 Service 4 Ambience 5	5.0
jrnyc	Dined on July 25, 2022	New York City	Wonderful as always. Had the chef prepare an assortment of sushi for our group.  Excellent presentation and delicious!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on July 24, 2022	Philadelphia	Day in the city	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on July 23, 2022	Los Angeles	biz - connecting with friends and biz partners	Overall 5 Food 5 Service 5 Ambience 5	1.0
EphraimF	Dined on July 23, 2022	New York City	Excellent, great fish, great sauces, wonderful creativity	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on July 22, 2022	Hawaii	Awesome experience!!  Delicious sushi and amazing service!!	Overall 5 Food 5 Service 5 Ambience 5	4.7
HenryF	Dined on July 22, 2022	New York City	Birthday  Celebrations !! Still the best sushi!!	Overall 4 Food 5 Service 4 Ambience 4	4.7
WilliamS	Dined on July 22, 2022	New York City	My second time dining here and it NEVER DISAPPOINTS!	Overall 5 Food 5 Service 5 Ambience 4	5.0
OpenTable Diner	Dined on July 21, 2022	New York City	We were rushed to eat and out the restaurant.	Overall 3 Food 4 Service 3 Ambience 5	4.0
TimothyC	Dined on July 21, 2022	New York City	An amazing experience, everything was quite well done.	Overall 5 Food 5 Service 5 Ambience 5	5.0
JeanF	Dined on July 20, 2022	Miami	This was our first time at this Nobu location. They are very consistent across all the locations we have eaten at.	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on July 20, 2022	New York City	18th bday. Daughter	Overall 5 Food 5 Service 5 Ambience 5	5.0
Ador	Dined on July 19, 2022	New York City	Fantastic- as always a pleasure going to Nobu. We took the black cod and it was amaizing.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on July 17, 2022	Chicago	Nice environment and great food	Overall 5 Food 5 Service 5 Ambience 5	5.0
GerardS	Dined on July 17, 2022	Pittsburgh	We had a great meal and our waitress was phenomenal. Everything she recommended was really good.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on July 17, 2022	Miami	Won-der-ful in every way! I wish you had a restaurant of this level in Paris 🔥	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on July 16, 2022	New York City	Over hyped in pop culture, but the food was great!	Overall 4 Food 4 Service 5 Ambience 5	5.0
MrTomatoHead	Dined on July 16, 2022	Atlanta Metro	Great food and great service	Overall 5 Food 5 Service 5 Ambience 5	5.0
Nilsa	Dined on July 16, 2022	New York City	Everything is delicious 😛	Overall 5 Food 5 Service 5 Ambience 5	4.0
MaryF	Dined on July 15, 2022	Orlando	Sushi-ok.  Waiter didn’t explain anything.   Sake fantastic  Salmon fantastic	Overall 3 Food 3 Service 3 Ambience 3	3.0
MeredithD	Dined on July 14, 2022	San Francisco	The food is so good. Service was great. The prices are worth it.	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on July 14, 2022	New York City	Reservations was at 8 but were not seated until 8:25 pm. Others that came after us were seated immediately	Overall 3 Food 5 Service 2 Ambience 5	4.7
HeenaS	Dined on July 10, 2022	New York City	I visited Nobu downtown. The Service and food was quite good.  Overall I felt it is overrated.  It didn't keep up to the hype.	Overall 3 Food 3 Service 4 Ambience 3	3.0
OpenTable Diner	Dined on July 10, 2022	Los Angeles	Great birthday dinner for my girlfriend.	Overall 5 Food 5 Service 5 Ambience 5	5.0
BetsyW	Dined on July 10, 2022	New York City	Exceptional. Best meal of our lives.	Overall 5 Food 5 Service 5 Ambience 5	3.0
ChrisR	Dined on July 9, 2022	Sydney	Delicious, however the tasting menu is very expensive especially with no drink pairings	Overall 3 Food 3 Service 4 Ambience 3	5.0
OpenTable Diner	Dined on July 8, 2022	New York City	Excellent food and service	Overall 5 Food 5 Service 5 Ambience 5	5.0
SimonC	Dined on July 7, 2022	Singapore	Great location and setting, outstanding food and service - special thanks to Bryan!	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on July 6, 2022	Detroit	This meal was one of the best I've had. Well worth it!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on July 2, 2022	Philadelphia	Moving to NYC	Overall 4 Food 4 Service 4 Ambience 5	4.7
MichaeliaM	Dined on July 2, 2022	West Palm Beach	Words cannot express this gastronomical experience. Every morsel of food was absolutely delectable. Definitely worth every penny!	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on July 2, 2022	New York City	Great food but waiter very pushy and we ordered way too much (overpriced) food as a result. This soured the experience for me.	Overall 3 Food 5 Service 3 Ambience 3	4.0
RobertS	Dined on July 2, 2022	New York City	Excellent service and food !!!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 29, 2022	New York City	Todo muy bien! Lo único malo es que las entradas y la comida principal la traen todo al mismo tiempo. Debería ser por etapas!	Overall 5 Food 5 Service 2 Ambience 5	5.0
OpenTable Diner	Dined on June 28, 2022	Dallas	Best sushi in the world. Service above and beyond.	Overall 5 Food 5 Service 5 Ambience 5	4.0
CharlotteH	Dined on June 27, 2022	Coastal Georgia	The service was lovely, they promptly refilled our drinks and had great sushi suggestions.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 26, 2022	New York City	Great time!	Overall 5 Food 4 Service 5 Ambience 4	4.7
AH33	Dined on June 25, 2022	New York City	It was good but not GREAT 57th Street was a better experience	Overall 3 Food 3 Service 4 Ambience 5	4.7
LuisV	Dined on June 23, 2022	Mexico City	Great food and service. I will definitely come back when in. New York.	Overall 5 Food 5 Service 5 Ambience 5	3.0
JanB	Dined on June 23, 2022	Dubai	It was great!	Overall 5 Food 5 Service 5 Ambience 4	4.0
LeahF	Dined on June 19, 2022	New York City	Excellent experience! The food was amazing, as always. Our server was great. Nobu never disappoints!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 18, 2022	Philadelphia	Me and my friends were in town for a good night; yet, our waiter forgot our food; the service was slow	Overall 2 Food 2 Service 1 Ambience 4	5.0
OpenTable Diner	Dined on June 17, 2022	Miami	Wonderful place and Amazing food 100% recommended	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 17, 2022	New York City	Definitely coming back soon! Our waiter Kevin gave us amazing customer service, and the food had us speechless.	Overall 5 Food 5 Service 5 Ambience 5	2.0
Symone	Dined on June 16, 2022	New York City	Kevin the bartender kept the drinks great..food decor excellent	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on June 14, 2022	New York City	Fantastic food and ambience!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 13, 2022	New York City	In such a perfect place, not lot to be mentioned	Overall 5 Food 5 Service 5 Ambience 5	4.0
Golfcrew4	Dined on June 13, 2022	New York City	Nobu never disappoints, another great dinner with family.	Overall 5 Food 5 Service 5 Ambience 5	5.0
AlyssaB	Dined on June 13, 2022	Chicago	So amazing. Beautiful dining room, amazing service, and the most amazing food.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 12, 2022	Philadelphia	We came for my birthday. The food was great, but we took a late reservation and it felt as though they were rushing us out.	Overall 3 Food 4 Service 3 Ambience 3	5.0
SubatraThiruchittampalam	Dined on June 12, 2022	Düsseldorf	Very nice restaurant. The food is delicious, the service is very nice!	Overall 5 Food 5 Service 5 Ambience 5	2.0
wendyn	Dined on June 11, 2022	New York City	Outstanding.	Overall 5 Food 5 Service 5 Ambience 5	4.7
Dc123	Dined on June 10, 2022	Detroit	This was an incredible experience with amazing service	Overall 5 Food 5 Service 5 Ambience 5	4.7
TinaD	Dined on June 10, 2022	New York City	Great experience.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 9, 2022	New York City	Delicious food. Excellent and friendly service	Overall 5 Food 5 Service 5 Ambience 5	2.0
Ran50	Dined on June 7, 2022	Baltimore	Beautiful bar area. Fast service. Delicious food. Clean and comfortable.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 7, 2022	New York City	The food and service was top notch through and through. Dinner for 2 with some starters and a couple mains was about $250. Lovely place 10/10	Overall 5 Food 5 Service 5 Ambience 5	5.0
Jenny	Dined on June 4, 2022	New York City	overall great experience. highly recommend for business meeting or special celebration.	Overall 5 Food 4 Service 5 Ambience 5	4.7
LALA	Dined on June 1, 2022	New Orleans	This downtown Nobu location is the best one in the city.  The service is exceptional, and the food is a hit.  The mini tacos cannot be missed.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 29, 2022	Philadelphia	Great ambience. All the fish was extremely fresh and delicious	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on May 28, 2022	New York City	Wife’s 30th birthday.	Overall 5 Food 4 Service 4 Ambience 5	5.0
MikeS	Dined on May 28, 2022	Philadelphia	Loved it!!! Food was spectacular.  Service was also excellent.  Thx!	Overall 5 Food 5 Service 5 Ambience 5	5.0
Steph	Dined on May 26, 2022	New York City	The food was amazing, The Staff was very polite and kind. The atmosphere warm and welcoming. Great experience, I will be back!	Overall 5 Food 5 Service 5 Ambience 5	4.7
Robfl	Dined on May 26, 2022	Tampa	Good but not great sushi.  Resting on it’s reputation from years ago.  Miso eggplant was excellent.	Overall 3 Food 3 Service 4 Ambience 5	4.7
katdemario25	Dined on May 25, 2022	New York City	The staff is pleasant as always. Kevin makes the best drinks at the bar.	Overall 5 Food 5 Service 5 Ambience 5	5.0
VanessaL	Dined on May 23, 2022	New York City	Celebrated sisters bday! Our flights got canceled so Nobu on a Sunday seemed perfect.  June was amazing, top notch hospitality.	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on May 23, 2022	New York City	Love it !!! Best food ever	Overall 5 Food 5 Service 5 Ambience 5	5.0
RosaP	Dined on May 23, 2022	Amsterdam	Excellent food, very nice staff We were seated at the counter and it was lovely to see all the preparations	Overall 5 Food 5 Service 5 Ambience 5	5.0
Mara	Dined on May 22, 2022	Phoenix	Friend visiting in town. Omakase is very good but a little overpriced.	Overall 5 Food 4 Service 5 Ambience 5	5.0
BrennanH	Dined on May 22, 2022	New York City	Great place for a splurge.  Be sure to ask if they have the wagyu dumplings, they are spectacular!	Overall 5 Food 5 Service 5 Ambience 5	5.0
RiCa	Dined on May 22, 2022	New York City	Amazingly delicious! Definitely was full and satisfied.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Liefteeten	Dined on May 22, 2022	New York City	Really not worth the price - you can get better sushi at so many other places	Overall 3 Food 4 Service 4 Ambience 4	4.7
OpenTable Diner	Dined on May 21, 2022	New York City	Amazing as always. Took care of our special order with ease - wagu dumplings, get them - overall amazing.	Overall 5 Food 5 Service 5 Ambience 5	4.7
Lenk	Dined on May 21, 2022	New York City	The food was beyond excellent as we have learned to expect	Overall 5 Food 5 Service 5 Ambience 5	3.0
ChristopherL	Dined on May 20, 2022	New York City	The ambiance, food and service were all exceptional. A bit pricey but worth the splurge.	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on May 20, 2022	Toronto	Graduation party	Overall 4 Food 5 Service 5 Ambience 4	4.0
JosephT	Dined on May 20, 2022	Anchorage	Was incredible.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 20, 2022	Philadelphia	Nobu’s food is amazing and their servers are so professional! Such an amazing dinner spot. 10/10	Overall 5 Food 5 Service 5 Ambience 5	4.0
TomM	Dined on May 20, 2022	New York City	Good but it was extremely loud.	Overall 5 Food 5 Service 5 Ambience 4	5.0
DarrenS	Dined on May 19, 2022	Austin	Sushi was good but not exceptional based on price.	Overall 3 Food 3 Service 3 Ambience 3	4.7
MRSotos	Dined on May 18, 2022	New York City	Still the best Japanese!  The suave is incredible!	Overall 5 Food 5 Service 5 Ambience 5	4.7
KarleeD	Dined on May 18, 2022	New York City	Great spot. Food was really good and pricing was not too bad for the quality.	Overall 5 Food 5 Service 5 Ambience 5	3.0
MaxC	Dined on May 18, 2022	New York City	Amazing service, amazing meal. Thanks for a great night!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 16, 2022	Milwaukee	Sashimi was not fresh. Way better spots for sushi	Overall 3 Food 2 Service 4 Ambience 4	5.0
TaliT	Dined on May 15, 2022	Cyprus	Great Restaurant! Love this place, the food was amazing	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on May 13, 2022	New York City	As always, so good!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 13, 2022	New York City	Wonderful! Everything from service to good was great. I was Matsuhisha Denver a month ago and the food at Nobu downtown was superior (Sorry Denver).	Overall 5 Food 5 Service 5 Ambience 5	4.7
aura	Dined on May 12, 2022	New York City	Recommendations were excellent, food delicious, service fantastic	Overall 5 Food 5 Service 5 Ambience 5	4.7
DavidL	Dined on May 11, 2022	New York City	Food wasn’t that warm when brought to the table.	Overall 3 Food 2 Service 3 Ambience 3	5.0
Nina	Dined on May 10, 2022	New York City	Kevin was the absolute best! Fantastic server, so friendly and professional, absolutely made the night a great experience for the team	Overall 5 Food 5 Service 5 Ambience 5	5.0
David	Dined on May 9, 2022	New York City	Mother’s Day	Overall 5 Food 5 Service 5 Ambience 5	3.0
OpenTable Diner	Dined on May 8, 2022	Los Angeles	Great meal and service!	Overall 5 Food 5 Service 5 Ambience 5	5.0
CoryM	Dined on May 8, 2022	New York City	Great ambiance and atmosphere. Amazing food. I'd definitely go again when I'm in New York.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Trudi	Dined on May 8, 2022	New York City	Utstanding!!	Overall 5 Food 5 Service 5 Ambience 5	1.0
WilliamS	Dined on May 8, 2022	New York City	Good family dinner Ambiance is excellent and server was on point	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on May 8, 2022	New York City	Mother’s Day with my mom. Special way to celebrate	Overall 5 Food 5 Service 5 Ambience 5	4.7
VanessaF	Dined on May 8, 2022	New York City	Great food, service, environment and drinks. Very accommodating.	Overall 5 Food 5 Service 5 Ambience 5	5.0
Luisa	Dined on May 7, 2022	London	Slow service I don’t know if making a reservation thru the app always gets us the last table in the corner… always…	Overall 2 Food 4 Service 2 Ambience 3	5.0
Josh	Dined on May 7, 2022	Calgary	First time there, great service and exceptional food.	Overall 5 Food 5 Service 5 Ambience 5	2.0
OpenTable Diner	Dined on May 5, 2022	Milwaukee	Wagyu nigiri was hands down the best. Everyone loved it more than anything. Even better than the uni	Overall 5 Food 5 Service 5 Ambience 5	5.0
SITT	Dined on May 4, 2022	New York City	The food and service was great. The dessert was even better. Very friendly atmosphere and upbeat.	Overall 5 Food 5 Service 5 Ambience 5	5.0
ChadB	Dined on May 4, 2022	Philadelphia	Never again. Never. Nothing like the Tribeca location, which if they were aiming to put that wonderful chapter to bed, they very much succeeded.	Overall 1 Food 4 Service 4 Ambience 1	5.0
OpenTable Diner	Dined on May 3, 2022	New York City	Was amazing and the staff are so friendly	Overall 5 Food 5 Service 5 Ambience 5	5.0
JoeB	Dined on May 2, 2022	Chicago	Good for date night	Overall 4 Food 4 Service 5 Ambience 5	4.7
MonicaB	Dined on April 30, 2022	New York City	It was a birthday celebration but we didn’t get the candle in our dessert which was a bit disappointing.	Overall 4 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on April 30, 2022	Baltimore	It was great	Overall 4 Food 4 Service 4 Ambience 4	4.0
OpenTable Diner	Dined on April 30, 2022	Cincinnati	Wonderful!   Everything was amazing	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on April 28, 2022	New York City	Best date with the love of my life, Marky	Overall 5 Food 5 Service 4 Ambience 5	4.0
OpenTable Diner	Dined on April 28, 2022	New York City	Everything was fantastic!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
AnneMa	Dined on April 28, 2022	Greater Boston	Fabulous food, atmosphere and service!  Our server, Eriko, was amazing - loved her!	Overall 5 Food 5 Service 5 Ambience 4	3.0
OpenTable Diner	Dined on April 28, 2022	New York City	The Code dish was disappointing  Price is on the very high size	Overall 3 Food 3 Service 3 Ambience 3	5.0
OpenTable Diner	Dined on April 26, 2022	New York City	Worst service ever. Also had fruit flies flying around my food.	Overall 2 Food 3 Service 1 Ambience 2	5.0
jenniferi	Dined on April 25, 2022	New York City	Nobu never disappoints - great service beautiful space great vibe	Overall 5 Food 5 Service 5 Ambience 5	4.7
JoanS	Dined on April 25, 2022	New York City	Wow! Gorgeous ground level space, impeccable service, and gorgeous scrumptious food. Perfection!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 24, 2022	New York City	Amazing, the service was perfect felt taken care at every step of the experience	Overall 5 Food 5 Service 5 Ambience 5	5.0
Mar11	Dined on April 23, 2022	New York City	Fantastic food and service	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 23, 2022	New York City	Everything was great.	Overall 5 Food 5 Service 5 Ambience 5	5.0
BrentP	Dined on April 22, 2022	New York City	Always the best	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 22, 2022	New York City	Was a great experience nice and relaxing	Overall 5 Food 5 Service 5 Ambience 5	4.7
LisaA	Dined on April 22, 2022	New York City	The food was amazing and the waitress was incredibly helpful!	Overall 5 Food 5 Service 5 Ambience 4	4.7
OpenTable Diner	Dined on April 22, 2022	New York City	Great experience, great food.	Overall 5 Food 5 Service 5 Ambience 5	5.0
IvanH	Dined on April 21, 2022	New York City	Todo perfecto, ambiente y comida espectacular. Ubicación muy buena.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 18, 2022	San Diego	Amazing service and phenomenal food. Will be back. Highly recommended	Overall 5 Food 5 Service 5 Ambience 5	5.0
BillP	Dined on April 16, 2022	San Francisco	Great range of food: from tidbits to main courses.	Overall 5 Food 5 Service 5 Ambience 5	5.0
SusanD	Dined on April 13, 2022	New York City	Everything -- food, ambience, service, decor -- top-notch. Really special and so much fun!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
katdemario25	Dined on April 10, 2022	New York City	Great service, all staff made our dinner experience so enjoyable, always have a wonderful time at Nobu, great food, atmosphere, and staff	Overall 5 Food 5 Service 5 Ambience 5	4.7
AnaA	Dined on April 10, 2022	New York City	Too expensive for what it is. Not the quality we would expect for the price. We had high expectations and they were not met	Overall 3 Food 3 Service 4 Ambience 3	4.7
DaveD	Dined on April 9, 2022	Las Vegas	Cocktails were creative and delicious. Sushi/seafood dishes were unique and flavorful.	Overall 5 Food 5 Service 5 Ambience 5	3.0
MareW	Dined on April 9, 2022	Raleigh	Food was outstanding, as were the cocktails.	Overall 5 Food 5 Service 5 Ambience 5	3.0
Saya	Dined on April 8, 2022	New York City	Delicious food. We sat downstairs and it was very nice atmosphere. Service was great.	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on April 8, 2022	New York City	The food and service was amazing ! I would love to experience it again	Overall 5 Food 5 Service 5 Ambience 5	5.0
FSHO	Dined on April 7, 2022	New York City	Definitely going back!!! The waiter knew his stuff and front desk ladies were really pleasant. Most importantly the food was amazing!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
imafoodie	Dined on April 7, 2022	Los Angeles	First meal in nyc to kick off spring break and it did not disappoint! Miso cod, ribeye, oysters, sushi simply delightful!	Overall 5 Food 5 Service 5 Ambience 5	4.7
RodolfoS	Dined on April 6, 2022	Mexico City	It was awesome!	Overall 5 Food 5 Service 5 Ambience 5	4.7
